TIME,Argentina,Australia,Bulgaria,China (Mainland),Colombia,"Germany, Fed. Republic",France,United Kingdom,Greece,Indonesia,India,Italy,Japna,Mexico,Peru,Poland,Saudi Arabia,Turkey,United States,Zambia
2006,,,,,,,,,,,,,,,,,,,,
2007,0.10840887588993287,0.04631975485877704,0.12068148793685074,0.16695431111067793,0.08417642309883111,0.0633988832265604,0.051092361409298404,0.023780939658213374,0.02718275357055533,0.07566735812382142,0.09930617850068879,0.051044944162343286,0.04269106075331819,0.03734078382665551,,0.1086623953882675,0.017905776170870524,0.08975662966414455,0.036149330767903054,0.08221963827834755
2008,0.050403811721156044,0.012553495448749397,0.11761214338060455,0.11220706289373461,0.04024124364048598,0.043788382882586685,0.029623478060817998,0.029514558481202657,0.053472665634504146,0.06457646295830788,0.039370567838401094,0.040441738645502934,0.00859206189243511,0.04587027378558273,0.0999360012703494,0.09091699776199968,0.05442835637518906,0.08042672423050079,0.008541664951221994,0.06906375907863338
2009,-0.061177722225090214,0.03792242866371076,-0.011686833350952774,0.09698554618066346,0.007805830093090549,-0.02423266519184286,-0.010921199273043025,-0.04397011545457641,-0.015153767638899418,0.01767115566155364,0.06828381150919705,-0.026048651130057054,-0.04602018760670945,-0.023748370075136416,0.007301666637734128,0.04258842403148022,-0.03980347379622884,-0.035417319182997176,-0.026558286205176085,0.06956752108906361
2010,0.09621077222994456,0.028163467072121584,0.04837059188326176,0.11390288031772955,0.0433233790593901,0.0587297148177075,0.03503900434426077,0.03804451357395977,-0.07302057716749788,-0.0127553669224314,0.07721326660122019,0.014606180149695502,0.05398427737446099,0.04990832284165103,0.08367541478787421,0.08953622140559236,0.0330257266334113,0.12363186367413448,0.029081364558676714,0.08474292750852719
2011,0.06977617893332644,0.0381409665313297,0.0727883290959146,0.11304762948999336,0.08331668700839345,0.07147860732556732,0.04207218138901636,0.021295588093100504,-0.07200322690671246,0.06832505767080521,0.0720398132826301,0.038042267676939634,0.02231456252391739,0.08447997352080705,0.0732514114063596,0.08514524177801297,0.0906412084126269,0.12760794271752962,0.029235924077370967,0.04643157893042127
2012,-0.0026857878138116797,-0.012159788097836466,0.037060726567996305,0.09385082273347756,0.04674476156279228,0.01922893338507148,0.006308717216378934,0.03130484078275786,-0.0327715951444324,0.06551296936343753,0.061734703214551434,-0.004985925802664437,0.04021162148077284,0.04069875627027364,0.06961394497731033,0.04278064749641697,0.04299652620505934,0.05288240767628172,0.03473689046842976,0.06388801867509741
2013,0.030428126304190117,0.08847097128052117,0.02094454689780334,0.091215252385072,0.05184238937271468,0.03768782488244016,0.04894028987218957,0.043745738192772166,0.032169699419198894,0.0594505893071855,0.06868561007624185,0.001799816996602699,0.048221932686158375,0.014037639804737934,0.0653338040577196,0.03741232017018925,0.015068391470268283,0.0845694109145283,0.02919962204818738,0.03500987093969954
2014,-0.017543920720418105,-0.002566530696770486,0.0587232147315393,0.08762007976346298,0.05499037522594441,0.04484214470499315,0.015573225683948255,0.032123803653393956,0.028384952850746936,0.05573278887389055,0.08060246854512698,0.0035269591378992438,0.00448891259427997,0.040415063223659065,0.03183302802888255,0.035834868704158085,0.027575238553285253,0.08006115629249622,0.03670826050332643,0.033656645954929454
2015,0.027164326368255942,-0.0060368261061535256,0.0448021026504648,0.07514003100440503,0.028877576521801895,0.01430011889170757,0.01735720856183831,0.030357448311074897,0.0023751383125780734,0.046298375876562714,0.07728568517750545,0.01973703035247376,0.031202693042867935,0.014890648946070728,0.0,0.048663481837253775,0.026175500249536965,0.07276071795531247,0.03231761101450048,0.009399486423697923
2016,-0.02050547812557324,0.06247714906402524,0.09091130036890216,0.07272540816234474,0.020513905403646282,0.06040871824860217,0.04928132369617222,0.038000385235199774,0.03423448306216259,0.04850468088162474,0.07302510923245809,0.08152432658902509,-0.009466464721415546,0.05788181497514455,0.0,0.05346419192876195,0.004942238707114077,0.030408293608103376,0.019624194695472275,0.019497399409645455
